KnowledgeId,SourcePoC,SourceType,Title,Category,RuleId,Severity,IssueDescription,CheckLogic,FixGuide,AIReadinessImpact,HumanReviewRequired,DeepDiveRequired,Keywords,SourceFile
P1-RULE-D001,PoC1,RuleMaster,Door Name Missing Rule,Door,D-001,High,DoorカテゴリのName項目が未入力または不明確な状態を検出する品質チェック。,Nameが空欄または欠損しているDoor要素を検出する。,BIM担当者がRevitモデルまたは集計表を確認し、プロジェクトの命名ルールに沿ってDoor Nameを設定する。,Door Nameが不足していると、AI Context生成や検索対象ナレッジ化の際に対象要素を識別しにくくなる。,True,False,door|ドア|扉|name|名称|missing|未入力|D-001|quality|品質|AI readiness|human review,poc1_knowledge_samples.csv
P1-RULE-D002,PoC1,RuleMaster,Door Level Missing Rule,Door,D-002,Medium,DoorカテゴリのLevel情報が不足している状態を検出する品質チェック。,LevelNameまたはLevel関連項目が空欄のDoor要素を検出する。,BIM担当者がDoorの配置階または関連Levelを確認し、集計表またはモデル上でLevel情報を補完する。,Level情報が不足していると、階別集計、検索フィルタ、AI Context内の位置情報整理に影響する可能性がある。,True,False,door|ドア|level|階|階情報|missing|未入力|D-002|location|位置情報|AI context,poc1_knowledge_samples.csv
P1-RULE-D003,PoC1,RuleMaster,Door Room Relation Missing Rule,Door,D-003,High,DoorとRoomの関連情報が不足している状態を検出する品質チェック。,RoomNameまたはRoomNumberが取得できないDoor要素を検出する。,BIM担当者がDoorの設置位置、From Room、To Room、部屋情報を確認し、必要に応じてRoom設定やDoor配置を見直す。,Room関連情報が不足していると、部屋別の検索、維持管理情報、AIによる文脈説明の精度に影響する可能性がある。,True,True,door|ドア|room|部屋|RoomName|RoomNumber|D-003|relation|関連|AI context|deep dive,poc1_knowledge_samples.csv
P1-RULE-R101,PoC1,RuleMaster,Room Name Missing Rule,Room,R-101,High,RoomカテゴリのRoomNameが未入力または不明確な状態を検出する品質チェック。,RoomNameが空欄または欠損しているRoomを検出する。,BIM担当者がRoom ScheduleまたはRevitモデルを確認し、設計意図や部屋用途に沿ってRoomNameを設定する。,RoomNameが不足していると、AIが部屋用途や空間情報を説明しにくくなり、RAG-style検索でも対象空間を特定しにくくなる。,True,False,room|部屋|RoomName|室名|missing|未入力|R-101|space|空間|AI readiness,poc1_knowledge_samples.csv
P1-RULE-R102,PoC1,RuleMaster,Room Number Missing Rule,Room,R-102,High,RoomカテゴリのRoomNumberが未入力または不明確な状態を検出する品質チェック。,RoomNumberが空欄または欠損しているRoomを検出する。,BIM担当者がRoom Schedule、図面、プロジェクトルールを確認し、適切なRoomNumberを設定する。,RoomNumberが不足していると、部屋の一意識別、図面・集計表との照合、AI Context生成に影響する可能性がある。,True,False,room|部屋|RoomNumber|室番号|番号|missing|未入力|R-102|identifier|識別,poc1_knowledge_samples.csv
P1-RULE-R103,PoC1,RuleMaster,Room Area Missing Rule,Room,R-103,Medium,RoomカテゴリのArea情報が不足または0に近い状態を検出する品質チェック。,Areaが空欄、0、または不自然な値のRoomを検出する。,BIM担当者がRoom境界、配置、面積計算設定を確認し、必要に応じてRoom BoundaryやRoom配置を見直す。,Area情報が不足していると、面積集計、BI分析、AIによる空間評価や説明に影響する可能性がある。,True,True,room|部屋|area|面積|missing|未入力|R-103|boundary|境界|BI|AI readiness,poc1_knowledge_samples.csv
P1-RULE-R104,PoC1,RuleMaster,Room Level Missing Rule,Room,R-104,Medium,RoomカテゴリのLevel情報が不足している状態を検出する品質チェック。,LevelNameまたはLevel関連項目が空欄のRoomを検出する。,BIM担当者がRoomの配置階、Level設定、Room Scheduleを確認し、必要に応じてLevel情報を補完する。,Level情報が不足していると、階別検索、階別集計、AI Context内の位置情報整理に影響する可能性がある。,True,False,room|部屋|level|階|階情報|missing|未入力|R-104|location|位置情報,poc1_knowledge_samples.csv
P1-FIX-F001,PoC1,FixGuide,Door Name Missing Fix Guide,Door,D-001,High,Door Nameが不足している場合の確認・修正方針を示すFix Guide。,Door Name Missing Ruleに関連する修正方針を参照する。,対象DoorのElementId、UniqueId、FamilyName、TypeNameを確認し、プロジェクトの命名ルールや設計意図に沿ってDoor Nameを設定する。,適切なDoor Nameが設定されることで、AI ContextやRAG-style documentで対象要素を説明しやすくなる。,True,False,fix guide|修正方針|door|ドア|name|名称|D-001|ElementId|UniqueId,poc1_knowledge_samples.csv
P1-FIX-F002,PoC1,FixGuide,Room Information Fix Guide,Room,R-101,High,RoomNameやRoomNumberが不足している場合の確認・修正方針を示すFix Guide。,RoomNameまたはRoomNumberの不足を確認する。,Room Schedule、平面図、設計意図、部屋用途を確認し、RoomNameとRoomNumberを適切に設定する。,Room情報が整うことで、AIが空間用途や部屋別情報を説明しやすくなり、検索対象ナレッジとして利用しやすくなる。,True,False,fix guide|修正方針|room|部屋|RoomName|RoomNumber|R-101|R-102|space,poc1_knowledge_samples.csv
P1-AIR-A001,PoC1,AIReadiness,AI Readiness Impact of Missing Identifiers,General,,High,ElementId、UniqueId、Name、RoomNumberなどの識別情報が不足すると、AI活用前のデータ準備に影響する。,識別子や名称の欠損があるデータを確認対象とする。,BIM担当者が識別子、名称、カテゴリ、部屋情報を確認し、AI Contextとして利用できる状態に整える。,識別情報が不足していると、AIが対象要素や空間を正しく参照しにくくなり、検索・要約・説明の信頼性が下がる可能性がある。,True,False,AI readiness|AI活用準備度|identifier|識別子|ElementId|UniqueId|Name|RoomNumber,poc1_knowledge_samples.csv
P1-AIC-A001,PoC1,AIContext,AI Context for BIM Elements,General,,Info,BIM要素をAIが扱いやすい文脈情報として整理するためのAI Context方針。,Category、ElementId、UniqueId、FamilyName、TypeName、Name、LevelName、RoomName、RoomNumberを確認する。,BIM要素の属性を整理し、RuleIdやFix Guideと結びつけて説明できるようにする。,AI Contextが整理されることで、RAG-style検索や根拠付き回答でBIM要素の意味を説明しやすくなる。,False,False,AI context|BIM element|Category|ElementId|UniqueId|FamilyName|TypeName|RoomName|RoomNumber,poc1_knowledge_samples.csv
P1-META-M001,PoC1,pyRevitMetadata,pyRevit Element Metadata Export,Element,,Info,pyRevitを用いてRevit要素のElementIdやUniqueIdなどをCSV出力するMVP方針。,選択または対象カテゴリのRevit要素から主要metadataを取得する。,ElementId、UniqueId、Category、FamilyName、TypeName、Name、LevelName、RoomName、RoomNumberをCSVとして出力し、PoC 1やPoC 3の入力候補にする。,pyRevit Metadataにより、BIM要素と品質チェック結果、AI Context、RAG-style documentを接続しやすくなる。,True,False,pyRevit|metadata|ElementId|UniqueId|Category|FamilyName|TypeName|Revit|CSV,poc1_knowledge_samples.csv
P1-RAG-R001,PoC1,RAGDesign,RAG Design Policy for BIM Quality Knowledge,General,,Info,PoC 1で整理したRule Master、AI Context、Fix GuideをRAG-style検索対象にするための設計方針。,RuleId、Category、Severity、FixGuide、HumanReviewRequiredを検索対象metadataとして扱う。,品質チェックルール、修正方針、AI Readinessへの影響をdocument化し、質問に応じて参照できるようにする。,RAG-style document化により、BIMデータ品質の指摘内容を根拠付きで説明しやすくなる。,False,False,RAG|RAG-style|Rule Master|Fix Guide|AI Context|metadata|HumanReviewRequired,poc1_knowledge_samples.csv
P1-POL-H001,PoC1,HumanReviewPolicy,Human Review Required for BIM Quality Decisions,General,,High,BIMデータ品質に関する指摘は、AIが最終判断するのではなく人間レビューを前提とする。,設計判断、施工判断、法規判断、安全判断、契約判断を含む場合はHumanReviewRequired=Trueとする。,AIは品質問題の意味や確認ポイントを提示するが、修正要否や正式判断はBIM担当者または関係者が行う。,Human Review方針を明確にすることで、AIによる自動修正や自動承認と誤解されることを防ぐ。,True,False,human review|人間レビュー|final decision|最終判断|BIM quality|品質判断|自動修正しない,poc1_knowledge_samples.csv
P1-RES-Q001,PoC1,QualityCheckResult,Sample Door Quality Check Result,Door,D-001,High,サンプルのDoor品質チェック結果として、Door Name Missingが検出された状態を示す。,Door Name Missing Ruleに該当するサンプル結果を扱う。,BIM担当者が対象DoorのElementId、UniqueId、FamilyName、TypeNameを確認し、命名ルールに沿って修正方針を検討する。,品質チェック結果をAI ContextやFix Guideと結びつけることで、根拠付き回答に利用しやすくなる。,True,False,quality check result|品質チェック結果|door|D-001|Door Name Missing|ElementId|Fix Guide,poc1_knowledge_samples.csv
P1-RES-Q002,PoC1,QualityCheckResult,Sample Room Quality Check Result,Room,R-101,High,サンプルのRoom品質チェック結果として、RoomName Missingが検出された状態を示す。,Room Name Missing Ruleに該当するサンプル結果を扱う。,BIM担当者がRoom Schedule、部屋用途、図面情報を確認し、RoomNameの設定方針を検討する。,Room品質チェック結果をAI ContextやRAG-style documentに接続することで、部屋情報の不足がAI活用に与える影響を説明しやすくなる。,True,False,quality check result|品質チェック結果|room|R-101|RoomName Missing|Room Schedule|Fix Guide,poc1_knowledge_samples.csv
